"","numpolic","puisveh","sex","bonusmalus","ageveh","nb","sinistre","agecond","valeurvehi","garantie","carbrantutil","USAGEE","zone"
"80","1100006119",6,1,1,"Véhicule récente",1,23075.38,"Actif",2499000,"Garan1",1,"Affaire","B"
"81","1100000747",6,1,0.65,"Véhicule ancienne",2,13500,"Jeune actif",2699000,"Garan2",0,"Fonctionnaire","C"
"82","1100006137",7,1,1,"Véhicule très récente",2,13220,"Jeune",2329000,"Garan2",1,"Affaire","E"
"83","1100006855",5,1,1,"Véhicule récente",1,66995,"Jeune",2649000,"Garan2",0,"Affaire","D"
"84","1100000785",6,1,1,"Véhicule ancienne",1,46101.42,"Jeune actif",2699000,"Garan2",0,"Affaire","A"
"85","1100006739",4,1,1,"Véhicule ancienne",2,87700,"Personne âgée",2999000,"Garan2",0,"Affaire","F"
"86","1100000745",6,1,1,"Véhicule ancienne",2,7647.31,"Jeune",3555000,"Garan3",0,"Affaire","A"
"87","1100004840",4,1,1,"Véhicule ancienne",2,6000,"Jeune actif",2021000,"Garan2",0,"Commerce","E"
"88","1100006343",3,1,1,"Véhicule ancienne",1,27700,"Actif",2214000,"Garan2",0,"Affaire","C"
"89","1100005762",3,1,1,"Véhicule ancienne",1,18800,"Actif",3215000,"Garan3",0,"Affaire","F"
"90","1100002421",5,1,1,"Véhicule ancienne",1,250000,"Actif",4215000,"Garan2",0,"Affaire","C"
"91","1100002545",4,1,1,"Véhicule ancienne",1,10000,"Actif",5215000,"Garan1",0,"Affaire","A"
"92","1101006089",3,1,1,"Véhicule récente",1,122000,"Personne âgée",4215000,"Garan3",0,"Affaire","B"
"93","1101001235",5,1,0.65,"Véhicule récente",1,91000,"Très jeune",3215000,"Garan3",0,"Affaire","A"
"94","1100005012",6,1,2,"Véhicule ancienne",1,217880,"Jeune",7125000,"Garan3",0,"Affaire","B"
"95","1100006005",6,1,1,"Véhicule récente",1,36800,"Jeune actif",7021000,"Garan3",0,"Affaire","C"
"96","1100005415",5,1,1,"Véhicule très ancienne",1,22000,"Jeune",7215000,"Garan3",0,"Affaire","C"
"97","1100005920",5,1,1,"Véhicule récente",1,47915,"Personne âgée",8600000,"Garan3",0,"Affaire","A"
"98","1100001761",6,1,0.65,"Véhicule ancienne",1,39925.5,"Jeune actif",8e+06,"Garan1",0,"Taxi","E"
"99","1100006009",3,1,1,"Véhicule très ancienne",1,8200,"Jeune actif",7e+06,"Garan2",1,"Affaire","E"
"100","1100005669",4,1,1,"Véhicule très récente",1,53995,"Personne très âgée",1222000,"Garan2",1,"Taxi","C"
"101","1100005631",4,1,1,"Véhicule très récente",1,28685.41,"Très jeune",7215000,"Garan2",1,"Commerce","C"
"102","1100005348",4,1,1,"Véhicule très ancienne",1,46945,"Jeune actif",8600000,"Garan2",1,"Affaire","A"
"103","1100006398",5,1,1,"Véhicule très ancienne",1,14818.83,"Actif",1190000,"Garan2",0,"Affaire","B"
"104","1100004530",5,1,0.75,"Véhicule récente",1,13260,"Personne âgée",7012000,"Garan2",0,"Affaire","A"
