"id"	"annee"	"agemoy"	"etp"	"prod"	"cap"	"nace"	"sect"
1225	2006	38.651515152	69	4107	2305	13921	"M"
1226	2006	37.085714286	84	5495	714	17210	"M"
1227	2006	36.03125	36	2072	335	24100	"M"
1228	2006	42.21875	59	3471	250	13930	"M"
1229	2006	42.333333333	29	1484	798	30910	"M"
1230	2006	38.44	50	6253	580	10711	"M"
1231	2006	40.24742268	135	12938	10500	28930	"M"
1232	2006	37.887459807	305	30774	3231	10890	"M"
1233	2006	42.858974359	77	8432	8632	17120	"M"
1234	2006	40.523316062	189	55366	22311	20140	"M"
1235	2006	39.894578313	424	34470	2100	10310	"M"
1236	2006	43.447368421	36	2061	348	20600	"M"
1237	2006	41.515024038	1707	91136	52998	30300	"M"
1238	2006	42.333333333	45	2273	100	24500	"M"
1239	2006	38.55	39	1656	199	16240	"M"
1240	2006	43.212765957	51	2799	1500	24340	"M"
1241	2006	43.796052632	154	7405	1250	24500	"M"
1242	2006	44.45	20	832	25	11010	"M"
1243	2006	41.763888889	131	6839	1984	16240	"M"
1244	2006	37.43902439	42	2932	5664	20590	"M"
1245	2006	44.966666667	62	2430	100	25110	"M"
1246	2006	43.5125	90	4921	1000	25620	"M"
1247	2006	38.815789474	35	2084	65	25120	"M"
1248	2006	39.503496503	189	18239	2100	13960	"M"
1249	2006	39.592105263	78	6595	1376	25290	"M"
1250	2006	35.25	25	1330	50	24100	"M"
1251	2006	38.742857143	37	2422	690	20411	"M"
1252	2006	36.615384615	37	3524	300	28299	"M"
1253	2006	40.6875	94	6316	1066	18130	"M"
1254	2006	37.869565217	24	1442	62	28250	"M"
1255	2006	44.45	40	2225	2000	27120	"M"
1256	2006	43.884057971	153	12386	1074	18120	"M"
1257	2006	47.235294118	95	6688	3121	17120	"M"
1258	2006	41.441860465	47	2586	2837	31000	"M"
1259	2006	39.905660377	52	3719	1750	28120	"M"
1260	2006	39.96875	67	4130	248	31030	"M"
1261	2006	36.9	40	1608	63	18110	"M"
1262	2006	32.684210526	23	1374	1550	23630	"M"
1263	2006	40.85	41	3147	125	13300	"M"
1264	2006	39.424242424	34	1246	43	10711	"M"
1265	2006	36.960784314	48	2313	483	23700	"M"
1266	2006	41.759259259	123	11599	3970	24100	"M"
1267	2006	48.235294118	31	441	205	14130	"M"
1268	2006	40.763157895	41	1746	2500	16210	"M"
1269	2006	43.229166667	47	3853	1100	11050	"M"
1270	2006	39.513888889	69	6949	2927	26510	"M"
1271	2006	39.870967742	31	1837	223	16230	"M"
1272	2006	39.227272727	25	861	19	28250	"M"
1273	2006	45.878787879	33	1446	225	28140	"M"
1274	2006	37.72	23	1853	250	25999	"M"
1275	2006	40.727272727	23	924	575	31091	"M"
1276	2006	39.546875	66	2949	1086	23110	"M"
1277	2006	41.906976744	80	3504	496	31020	"M"
1278	2006	36.390243902	40	6616	2144	21201	"M"
1279	2006	40.487179487	38	2529	992	32910	"M"
1280	2006	42.285714286	23	807	336	10820	"M"
1281	2006	32.153846154	38	3396	316	10720	"M"
1282	2006	32.789473684	60	3273	125	22220	"M"
1283	2006	41.9125	161	13679	10000	10830	"M"
1284	2006	42	55	4031	500	33150	"M"
1285	2006	38.243902439	42	2807	1008	25620	"M"
1286	2006	39.126582278	150	8319	323	10711	"M"
1287	2006	35.830769231	63	4346	1326	28130	"M"
1288	2006	38.155844156	142	15224	3633	26200	"M"
1289	2006	36.42	45	2415	124	25120	"M"
1290	2006	42	32	2929	125	20520	"M"
1291	2006	35.974358974	36	3871	558	24100	"M"
1292	2006	34.625	85	5316	373	10720	"M"
1293	2006	39.943181818	72	4610	357	32500	"M"
1294	2006	44.333333333	20	624	198	16230	"M"
1295	2006	37.756756757	39	2303	868	16230	"M"
1296	2006	42.375	25	2155	74	23610	"M"
1297	2006	35.763157895	42	1932	100	29202	"M"
1298	2006	36.895833333	46	1970	123	25120	"M"
1299	2006	38.551546392	188	15110	2479	18120	"M"
1300	2006	38.285714286	31	2547	548	23120	"M"
1301	2006	39.956521739	164	14188	677	13960	"M"
1302	2006	33.12195122	37	2767	825	10820	"M"
1303	2006	43.4	21	764	1000	10820	"M"
1304	2006	36.422535211	60	4561	558	18120	"M"
1305	2006	43.714285714	46	2449	1125	13100	"M"
1306	2006	47.407407407	27	651	297	13921	"M"
1307	2006	36.291666667	25	1952	100	16240	"M"
1308	2006	39.210526316	92	8289	1250	12000	"M"
